temp,city_name,country_code,co,no2,o3,pm10,pm25,so2,aqi
12.6,Gujrāt,PK,1339.8,76,10.7,491.7,347.67,238,257.9716981
11.5,Gujrāt,PK,1437.6,76,9.3,508.3,359.33,268,285.990566
11.9,Gujrāt,PK,1535.5,76,8,525,371,298,327.6538462
12.2,Gujrāt,PK,1659,68.3,5.3,529.3,374,275.7,293.1820755
11.9,Gujrāt,PK,1782.5,60.7,2.7,533.7,377,253.3,272.2613208
11.5,Gujrāt,PK,1906,53,0,538,380,231,275.7
10.4,Gujrāt,PK,1888.7,51.3,1,536,378.33,201.3,273.9
9.6,Gujrāt,PK,1871.4,49.7,2,534,376.67,171.7,272.1
10.4,Gujrāt,PK,1854.1,48,3,532,375,142,270.3
11.1,Gujrāt,PK,1583.7,51.3,44.3,462.7,326.33,122,219.8929688
15.6,Gujrāt,PK,1313.3,54.7,85.7,393.3,277.67,102,199.8914557
17,Gujrāt,PK,1042.9,58,127,324,229,82,157.9623418
18.1,Gujrāt,PK,821.1,41,142.7,255.7,180.67,66,122.7243671
20.4,Gujrāt,PK,599.4,24,158.3,187.3,132.33,50,103.1276316
20.7,Gujrāt,PK,377.6,7,174,119,84,34,113.25
20.7,Gujrāt,PK,341.4,9.7,146,115.3,81.67,40,94.84210526
20.4,Gujrāt,PK,305.2,12.3,118,111.7,79.33,46,76.78947368
19.6,Gujrāt,PK,269,15,90,108,77,52,58.97674419
17.8,Gujrāt,PK,296.9,20.7,74.3,128.3,91.67,64.3,72.99302326
15.6,Gujrāt,PK,324.7,26.3,58.7,148.7,106.33,76.7,87.12325581
14.4,Gujrāt,PK,352.5,32,43,169,121,89,101
14.1,Gujrāt,PK,406.6,38.7,33,193.7,138,109.3,124.1325581
12.2,Gujrāt,PK,460.7,45.3,23,218.3,155,129.7,147.3790698
11.1,Gujrāt,PK,514.7,52,13,243,172,150,170.372093
10.7,Gujrāt,PK,604.6,54.7,9,274.3,194,176,200
10,Gujrāt,PK,694.5,57.3,5,305.7,216,202,224.3490566
10.7,Gujrāt,PK,784.4,60,1,337,238,228,248.6320755
8.9,Gujrāt,PK,822.7,59.7,0.7,336.7,237.67,212.3,233.9688679
9.3,Gujrāt,PK,861,59.3,0.3,336.3,237.33,196.7,219.3990566
8.5,Gujrāt,PK,899.3,59,0,336,237,181,204.7358491
7.4,Gujrāt,PK,943.7,54.7,1.7,348.7,246,160.3,182.1093023
7.8,Gujrāt,PK,988,50.3,3.3,361.3,255,139.7,160.5454545
9.6,Gujrāt,PK,1032.4,46,5,374,264,119,166.2727273
9.6,Gujrāt,PK,891.9,41.3,35.7,321.7,227,104,142.4615385
13,Gujrāt,PK,751.5,36.7,66.3,269.3,190,89,119.2179487
14.1,Gujrāt,PK,611,32,97,217,153,74,95.54545455
15.6,Gujrāt,PK,507.1,24,114,176.7,124.67,61.7,77.51727273
17.8,Gujrāt,PK,403.3,16,131,136.3,96.33,49.3,85.17105263
18.1,Gujrāt,PK,299.4,8,148,96,68,37,96.13157895
17.4,Gujrāt,PK,313.2,13,120.3,113.7,80.33,49,78.27236842
17,Gujrāt,PK,327,18,92.7,131.3,92.67,61,69.23255814
16.7,Gujrāt,PK,340.8,23,65,149,105,73,82.90697674
15.2,Gujrāt,PK,438.5,31.3,48.3,198.3,140,87.7,99.65813953
14.8,Gujrāt,PK,536.1,39.7,31.7,247.7,175,102.3,116.155814
13.7,Gujrāt,PK,633.8,48,15,297,210,117,132.9069767
13,Gujrāt,PK,617.1,49,21,280.3,198.33,119,135.1860465
12.2,Gujrāt,PK,600.3,50,27,263.7,186.67,121,137.4651163
13,Gujrāt,PK,583.6,51,33,247,175,123,139.744186
13,Gujrāt,PK,558.1,46.3,39.3,235.7,167,120.3,136.6674419
12.6,Gujrāt,PK,532.6,41.7,45.7,224.3,159,117.7,133.7046512
12.2,Gujrāt,PK,507.1,37,52,213,151,115,130.627907
11.9,Gujrāt,PK,556.9,43.3,39.3,244,173,122.7,139.4023256
11.9,Gujrāt,PK,606.7,49.7,26.7,275,195,130.3,148.0627907
11.5,Gujrāt,PK,656.6,56,14,306,217,138,156.6976744
11.5,Gujrāt,PK,628.9,51,15,298.7,212,120,136.3255814
11.1,Gujrāt,PK,601.3,46,16,291.3,207,102,129.8974359
11.5,Gujrāt,PK,573.7,41,17,284,202,84,126.7564103
11.5,Gujrāt,PK,485.6,32.3,36.3,256,181.67,69.3,113.985
13,Gujrāt,PK,397.4,23.7,55.7,228,161.33,54.7,101.2073077
14.1,Gujrāt,PK,309.3,15,75,200,141,40,87.90909091
14.4,Gujrāt,PK,276.6,12.3,82.3,185,130.33,37,81.11909091
15.2,Gujrāt,PK,243.9,9.7,89.7,170,119.67,34,74.33545455
14.8,Gujrāt,PK,211.3,7,97,155,109,31,67.54545455
13.3,Gujrāt,PK,216.5,8.7,89.3,153.3,108.33,34.7,67.11909091
13.7,Gujrāt,PK,221.8,10.3,81.7,151.7,107.67,38.3,66.69909091
13.7,Gujrāt,PK,227,12,74,150,107,42,66.27272727
12.2,Gujrāt,PK,295.5,19.7,56,183.3,131.33,60.3,81.75545455
11.5,Gujrāt,PK,364,27.3,38,216.7,155.67,78.7,97.24454545
11.1,Gujrāt,PK,432.4,35,20,250,180,97,112.9358974
10,Gujrāt,PK,508.5,40.3,14,276.7,198.67,122.7,139.4023256
10,Gujrāt,PK,584.6,45.7,8,303.3,217.33,148.3,168.4348837
10.4,Gujrāt,PK,660.6,51,2,330,236,174,197.7209302
10.4,Gujrāt,PK,822.9,49.3,1.3,378.7,270,215,236.490566
9.3,Gujrāt,PK,985.1,47.7,0.7,427.3,304,256,274.7830189
9.6,Gujrāt,PK,1147.4,46,0,476,338,297,325.75
8.1,Gujrāt,PK,1295.2,33.3,0,496.7,352,271.3,289.0726415
