StationId,Date,PM2.5,NO,NO2,NOx,CO,SO2,O3
AP001,11/24/2017,71.36,1.75,20.65,12.4,0.1,10.76,109.26
AP001,11/25/2017,81.4,1.44,20.5,12.08,0.12,15.24,127.09
AP001,11/26/2017,78.32,1.26,26.0,14.85,0.14,26.96,117.44
AP001,11/27/2017,88.76,6.6,30.85,21.77,0.11,33.59,111.81
AP001,11/28/2017,64.18,2.56,28.07,17.01,0.09,19.0,138.18
AP001,11/29/2017,72.47,5.23,23.2,16.59,0.16,10.55,109.74
AP001,11/30/2017,69.8,4.69,20.17,14.54,0.12,14.07,118.09
AP001,12/1/2017,73.96,4.58,19.29,13.97,0.1,13.9,123.8
AP001,12/2/2017,89.9,7.71,26.19,19.87,0.1,19.37,128.73
AP001,12/3/2017,87.14,0.97,21.31,12.12,0.15,11.41,114.8
AP001,12/4/2017,84.64,4.02,26.98,17.58,0.18,9.84,112.41
AP001,12/5/2017,88.36,3.7,20.23,13.75,0.12,14.02,117.93
AP001,12/6/2017,96.83,1.6,25.65,14.99,0.11,16.54,117.21
AP001,12/7/2017,117.46,4.26,41.1,25.32,0.13,28.79,94.63
AP001,12/8/2017,122.88,5.56,54.87,33.71,0.27,22.97,68.6
AP001,12/9/2017,74.28,6.1,44.97,28.88,0.09,21.9,60.62
AP001,12/10/2017,50.32,1.73,33.85,19.41,0.1,13.65,68.15
AP001,12/11/2017,58.47,4.93,41.64,26.15,0.16,18.37,73.75
AP001,12/12/2017,89.35,7.97,42.1,28.88,0.24,7.42,44.67
AP001,12/13/2017,64.42,7.2,34.78,24.36,0.15,5.81,50.16
AP001,12/14/2017,69.4,5.81,29.97,20.67,0.14,5.8,55.0
AP001,12/15/2017,71.07,4.19,25.0,16.7,0.1,8.33,79.04
AP001,12/16/2017,79.76,8.77,40.92,28.84,0.17,8.51,73.17
AP001,12/17/2017,108.06,7.29,47.05,30.94,0.08,16.05,70.74
AP001,12/18/2017,100.75,7.63,53.94,33.45,0.11,14.05,59.2
AP001,12/19/2017,106.25,2.74,43.09,21.78,0.13,15.45,66.9
AP001,12/20/2017,83.79,6.77,47.47,30.74,0.3,13.35,77.54
AP001,12/21/2017,79.98,7.02,49.55,32.07,0.14,13.58,79.71
AP001,12/22/2017,76.27,7.51,56.0,35.9,0.15,29.88,56.97
AP001,12/23/2017,86.5,5.24,42.0,26.6,0.15,11.85,73.09
AP001,12/24/2017,100.62,3.75,47.68,28.41,0.22,10.85,62.78
AP001,12/25/2017,110.73,1.69,31.06,17.89,0.1,12.23,76.07
AP001,12/26/2017,107.7,4.97,43.54,27.2,0.17,18.07,64.6
AP001,12/27/2017,104.81,9.59,63.48,41.57,0.23,17.01,63.87
AP001,12/28/2017,89.95,10.95,64.53,43.23,0.27,15.52,62.49
AP001,12/29/2017,74.58,6.14,46.65,29.81,0.17,9.47,67.11
AP001,12/30/2017,56.68,4.6,33.26,21.44,0.1,8.26,66.91
AP001,12/31/2017,61.03,5.51,39.5,25.49,0.08,11.45,61.91
AP001,1/1/2018,59.03,3.45,23.36,15.23,0.09,26.05,87.55
AP001,1/2/2018,61.88,3.87,23.14,15.45,0.09,12.81,81.38
AP001,1/3/2018,71.57,5.01,39.99,25.36,0.09,16.82,80.3
AP001,1/4/2018,92.44,5.84,53.79,33.36,0.11,16.93,71.09
AP001,1/5/2018,92.9,6.38,56.39,35.19,0.08,23.11,68.79
AP001,1/6/2018,85.15,11.05,61.55,41.72,0.07,11.86,90.8
AP001,1/7/2018,81.47,6.45,46.9,30.18,0.07,9.63,96.49
AP001,1/8/2018,81.58,3.97,34.93,21.81,0.09,12.81,118.91
AP001,1/9/2018,79.56,4.44,37.58,23.6,0.05,17.77,137.61
AP001,1/10/2018,87.43,3.9,37.31,23.02,0.1,13.4,121.72
AP001,1/11/2018,87.33,3.95,42.52,25.82,0.08,35.39,106.17
AP001,1/12/2018,110.39,4.54,52.24,31.49,0.04,36.01,82.2
AP001,1/13/2018,77.51,3.85,36.41,22.49,0.05,14.36,72.16
AP001,1/14/2018,86.96,3.65,28.32,18.03,0.05,4.83,62.6
AP001,1/15/2018,76.29,2.96,21.35,13.75,0.05,8.75,69.99
AP001,1/16/2018,67.06,3.22,20.25,13.29,0.06,4.7,54.92
AP001,1/17/2018,68.34,3.71,26.26,16.99,0.06,6.43,45.63
AP001,1/18/2018,66.28,7.36,45.13,29.99,0.05,7.21,45.97
AP001,1/19/2018,64.98,6.98,45.4,29.83,0.06,8.83,50.28
AP001,1/20/2018,75.46,9.56,56.53,37.84,0.13,30.48,51.98
AP001,1/21/2018,81.58,4.99,38.15,24.35,0.05,11.04,59.76
AP001,1/22/2018,78.27,5.98,45.36,29.01,0.06,10.32,58.53
AP001,1/23/2018,79.01,6.16,45.43,29.17,0.06,10.18,58.04
AP001,1/24/2018,77.98,5.09,44.96,28.04,0.06,7.22,50.69
AP001,1/25/2018,77.96,8.4,59.92,38.7,0.06,31.01,40.77
AP001,1/26/2018,79.04,6.19,43.61,28.23,0.08,8.67,45.46
AP001,1/27/2018,77.78,6.1,43.84,28.33,0.09,7.62,43.26
AP001,1/28/2018,76.48,4.06,33.37,21.04,0.06,7.49,45.71
AP001,1/29/2018,74.2,4.3,35.82,22.55,0.07,12.16,53.0
AP001,1/30/2018,78.23,5.36,45.76,28.7,0.05,12.45,45.35
AP001,1/31/2018,68.53,8.28,61.52,39.46,0.04,23.68,37.99
AP001,2/1/2018,62.08,10.08,62.18,41.29,0.05,8.97,34.93
AP001,2/2/2018,50.64,6.48,45.52,29.49,0.07,10.61,40.57
AP001,2/3/2018,44.21,3.63,34.37,21.23,0.07,5.86,31.73
AP001,2/4/2018,50.71,7.91,35.16,25.13,0.06,8.16,32.58
AP001,2/5/2018,42.27,4.95,30.69,20.33,0.66,8.99,32.18
AP001,2/6/2018,39.41,3.21,28.53,17.83,0.81,5.86,28.72
AP001,2/7/2018,50.56,6.93,37.27,25.44,0.97,5.25,23.36
AP001,2/8/2018,50.54,2.91,26.96,16.74,0.9,17.9,36.66
AP001,2/9/2018,26.22,2.24,20.1,12.54,0.61,8.25,23.74
AP001,2/10/2018,31.83,2.76,16.83,11.14,0.61,5.87,24.72
AP001,2/11/2018,70.26,0.4,11.87,6.57,0.62,7.29,31.4
AP001,2/12/2018,59.47,0.54,12.85,7.18,0.68,7.62,30.57
AP001,2/13/2018,58.71,0.41,13.88,7.62,0.86,6.89,36.2
AP001,2/14/2018,56.29,0.25,16.71,9.02,0.95,12.91,48.39
AP001,2/15/2018,50.41,1.68,25.6,15.01,0.69,11.81,33.46
AP001,2/16/2018,57.53,1.94,25.03,14.88,0.78,25.39,31.15
AP001,2/17/2018,43.82,1.45,16.01,9.45,0.67,17.62,27.62
AP001,2/18/2018,42.71,15.9,17.35,22.25,0.49,9.53,30.68
AP001,2/19/2018,54.73,3.49,12.79,9.73,0.58,8.21,30.21
AP001,2/20/2018,50.91,4.55,16.33,12.39,0.64,10.34,26.24
AP001,2/21/2018,38.5,4.5,16.82,12.69,0.58,11.02,26.62
AP001,2/22/2018,32.21,7.39,17.33,15.32,0.6,11.81,24.84
AP001,2/23/2018,35.36,6.13,17.75,14.52,0.85,10.87,23.99
